Area Code,Area Name,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
202,Sub-Saharan Africa,2020,Balance imports/exports (millions of US dollars),,,-862,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,1995,Imports CIF (millions of US dollars),,,"17,980",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,2005,Imports CIF (millions of US dollars),,,"31,243",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,2010,Imports CIF (millions of US dollars),,,"62,688",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,2015,Imports CIF (millions of US dollars),,,"94,477",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,2018,Imports CIF (millions of US dollars),,,"95,373",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,2019,Imports CIF (millions of US dollars),,,"91,576",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,2020,Imports CIF (millions of US dollars),,,"84,312",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,1995,Exports FOB (millions of US dollars),,,"9,499",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,2005,Exports FOB (millions of US dollars),,,"16,297",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,2010,Exports FOB (millions of US dollars),,,"31,652",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,2015,Exports FOB (millions of US dollars),,,"40,742",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,2018,Exports FOB (millions of US dollars),,,"43,360",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,2019,Exports FOB (millions of US dollars),,,"41,335",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,2020,Exports FOB (millions of US dollars),,,"42,928",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,1995,Balance imports/exports (millions of US dollars),,,"-8,481",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,2005,Balance imports/exports (millions of US dollars),,,"-14,945",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
14,Eastern Africa,2010,Balance imports/exports (millions of US dollars),,,"-31,036",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
